,
"Dynamic, Alternative Imaging",", Global Conditioning, Local Conditioning"
Image,Generative Models
"Beyond Visual Computing, Alternative Imaging, Physics-Informed Neural Networks/Science & Engineering",
Human hand,"Coordinate Re-mapping, Articulated"
"Dynamic, Image, Editable, Segmentation/composition",
"Human (Body), Human (Head), Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering, Classification",Global Conditioning
"Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering",
"Camera Parameter Estimation, Beyond Visual Computing",
"Compression, Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering, Robotics, Audio",
"Dynamic, Human (Body), Generalization","Transformer, Local Conditioning"
"Human (Body), Image",Generative Models
Surface Reconstruction,"Local Conditioning, Feature volume, Learning residual, Coarse-to-Fine, Voxel Grid"
"Dynamic, Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering",Data-Driven Method
Fundamentals,
Editable,"Segmentation, Local Conditioning, Voxel Grid, Volume partitioning, Object-Centric Hybrid Geometry Parameterization, Global Conditioning"
"Generalization, Editable","Per-instance fine-tuning, Data-Driven Method, Global Conditioning"
,"Sampling, Data-Driven Method, Local Conditioning"
"Beyond Visual Computing, Alternative Imaging, Physics-Informed Neural Networks/Science & Engineering",
"Beyond Visual Computing, Fundamentals, Physics-Informed Neural Networks/Science & Engineering",Supervision by Gradient (PDE)
"Image, Beyond Visual Computing, Fundamentals",Coarse-to-Fine
"Sparse Reconstruction, Generalization","Transformer, Local Conditioning"
Camera Parameter Estimation,Coarse-to-Fine
"Generalization, Image, Alternative Imaging, Physics-Informed Neural Networks/Science & Engineering","Per-instance fine-tuning, Data-Driven Method"
Human (Body),Volume partitioning
"Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering, Alternative Imaging",
,Data-Driven Method
"Fundamentals, Multi-task/Continual/Transfer learning",
Human (Body),Coordinate Re-mapping
"Dynamic, Human (Body)",Coordinate Re-mapping
"Human (Body), Sparse Reconstruction, Editable","Voxel Grid, Data-Driven Method, Local Conditioning, Feature volume"
"Image, Beyond Visual Computing, Alternative Imaging",
"Robotics, Multi-task/Continual/Transfer learning","Volume partitioning, Global Conditioning"
"Human (Head), Sparse Reconstruction, Generalization","Data-Driven Method, Coarse-to-Fine"
"Dynamic, Human (Head), Generalization, Editable","Global Conditioning, Data-Driven Method, Coordinate Re-mapping, Coarse-to-Fine"
,"Sampling, Hybrid Geometry Parameterization"
"Dynamic, Image",Coordinate Re-mapping
"Human (Head), Sparse Reconstruction","Per-instance fine-tuning, Data-Driven Method, Global Conditioning"
"Human (Head), Material/Lighting Estimation","Data-Driven Method, Local Conditioning, Feature volume"
,
,"Generative Models, Voxel Grid, Feature volume"
"Beyond Visual Computing, Fundamentals, Physics-Informed Neural Networks/Science & Engineering",
"Generalization, Editable, Segmentation/composition","Data-Driven Method, Segmentation, Local Conditioning, Volume partitioning, Object-Centric Hybrid Geometry Parameterization"
"Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering",
"Beyond Visual Computing, Alternative Imaging, Physics-Informed Neural Networks/Science & Engineering",
"Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering, Robotics",
Fundamentals,
"Speed (Training), Sparse Reconstruction",
,
"Speed (Training), Speed (Rendering), Generalization","Image-based Rendering, Local Conditioning, Hypernetwork/Meta-learning"
"Dynamic, Human (Body)",
"Dynamic, Fundamentals","Global Conditioning, Local Conditioning"
"Speed (Rendering), Material/Lighting Estimation",Caching
Fundamentals,Hybrid Geometry Parameterization
Human (Body),"Coordinate Re-mapping, Hypernetwork/Meta-learning"
"Material/Lighting Estimation, Challenging materials (fur, hair, transparency)","Global Conditioning, Hybrid Geometry Parameterization"
,Hybrid Geometry Parameterization
,"Sampling, Hybrid Geometry Parameterization"
"Dynamic, Beyond Visual Computing","Volume partitioning, Global Conditioning"
"Camera Parameter Estimation, Beyond Visual Computing, Fundamentals",
Fundamentals,"Data-Driven Method, Volume partitioning, Coarse-to-Fine, Hybrid Geometry Parameterization"
Human (Body),"Coordinate Re-mapping, Coarse-to-Fine"
"Speed (Training), Human (Body), Sparse Reconstruction",Local Conditioning
Fundamentals,Hybrid Geometry Parameterization
"Speed (Training), Speed (Rendering), Generalization","Sampling, Global Conditioning, Hypernetwork/Meta-learning, Hybrid Geometry Parameterization"
"Editable, Material/Lighting Estimation",Data-Driven Method
Fundamentals,
"Human (Body), Editable",Local Conditioning
Editable,"Data-Driven Method, Hypernetwork/Meta-learning"
"Beyond Visual Computing, Alternative Imaging, Physics-Informed Neural Networks/Science & Engineering",
Material/Lighting Estimation,"Voxel Grid, Local Conditioning, Feature volume"
,"Sampling, Volume partitioning, Coarse-to-Fine"
Speed (Rendering),Hybrid Geometry Parameterization
"Generalization, Editable",Per-instance fine-tuning
Dynamic,Coordinate Re-mapping
"Beyond Visual Computing, Physics-Informed Neural Networks/Science & Engineering",
Dynamic,Coordinate Re-mapping
"Sparse Reconstruction, Physics-Informed Neural Networks/Science & Engineering",Local Conditioning
Compression,
"Dynamic, Human (Body)",Articulated
"Speed (Training), Speed (Rendering)","Local Conditioning, Feature volume, Coarse-to-Fine, Voxel Grid, Sampling, Hybrid Geometry Parameterization"
Compression,
"Dynamic, Editable, Segmentation/composition","Object-Centric Hybrid Geometry Parameterization, Volume partitioning, Coordinate Re-mapping"
"Editable, Material/Lighting Estimation","Learning residual, Hybrid Geometry Parameterization"
"Beyond Visual Computing, Robotics",
